Country,Region/Zone,lon,lat,Type of Disease,Target Disease,,Year(s),Doi,
Morocco,Morroco 1.2.1,-8.800700391,31.26145945,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.798554492,31.27796699,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.850056062,31.27980099,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.847910164,31.4465449,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.796408593,31.45203691,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.794262694,31.5160866,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.744907023,31.50876886,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.736323428,31.5416942,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morroco 1.2.1,-8.740615225,31.54535185,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.800733918,35.0121586,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.663396397,35.06135537,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.483140901,35.06135537,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.34580338,34.90663728,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.225633049,34.85030372,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.045377553,34.78688232,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.959541602,34.71635687,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.753535321,34.62458379,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.624781395,34.51856552,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.573279825,34.46904409,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.56469623,34.43365363,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.56469623,34.38408181,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.56469623,34.32739234,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.56469623,34.28485008,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.59903061,34.24228628,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.66769937,34.2209963,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.736368131,34.17129876,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.779286106,34.11446572,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.856538462,34.04337068,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.925207222,34.00068502,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.976708793,33.9864517,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-4.993875983,33.9864517,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.114046313,33.9864517,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.199882264,33.93661629,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.302885405,33.93661629,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.568976852,33.97221599,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.646229207,33.9864517,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.723481563,34.00068502,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.817901108,34.04337068,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.826484703,34.04337068,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
