Country,Region/Zone,lon,lat,Type of Disease,Target Disease condition,Digitization style,Year(s),Doi/comment,
Morocco,Morocco,-8.035082877,29.97005654,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-8.238782829,30.09227651,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-8.035082877,30.27560647,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-7.872122915,29.46080666,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-7.81101293,29.82746657,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-8.340632806,29.35895668,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-8.564702753,29.75617159,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-8.74803271,30.01079653,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Morocco,Morocco,-8.936455166,29.7205241,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,3.199606058,33.40240074,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,4.829205677,33.80980064,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.477305058,34.95052038,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.129144905,35.03200036,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.395825077,34.70608043,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.273605105,33.80980064,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.68100501,33.23944078,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,6.866205201,33.32092076,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
